carrier_id,hub_code,container_size,baseline_stockout_boxes,post_rail_stockout_boxes,stockout_reduction_boxes,minimum_baseline_inventory,minimum_post_rail_inventory,rail_inbound_boxes,rail_outbound_boxes
CARRIER_A,BUGANG,20FT,0,0,0,7,1,0,8
CARRIER_A,BUGANG,40FT,0,0,0,1,0,0,1
CARRIER_A,BUSAN,20FT,0,0,0,27,27,0,0
CARRIER_A,BUSAN,40FT,0,0,0,14,14,0,0
CARRIER_A,DONGSAN,20FT,1,1,0,0,0,0,0
CARRIER_A,DONGSAN,40FT,0,0,0,0,0,0,0
CARRIER_A,GWANGYANG,20FT,11,5,6,0,0,6,0
CARRIER_A,GWANGYANG,40FT,0,0,0,1,1,0,0
CARRIER_A,UIWANG,20FT,0,0,0,7,0,0,7
CARRIER_A,UIWANG,40FT,0,0,0,3,0,0,3
CARRIER_A,YAKMOK,20FT,25,16,9,0,0,9,0
CARRIER_A,YAKMOK,40FT,15,11,4,0,0,4,0
CARRIER_B,BUGANG,20FT,10,5,5,0,0,5,0
CARRIER_B,BUGANG,40FT,2,2,0,0,0,0,0
CARRIER_B,BUSAN,20FT,17,1,16,0,0,16,0
CARRIER_B,BUSAN,40FT,0,0,0,0,0,0,0
CARRIER_B,DONGSAN,20FT,1,1,0,0,0,0,0
CARRIER_B,DONGSAN,40FT,0,0,0,1,1,0,0
CARRIER_B,GWANGYANG,20FT,6,2,4,0,0,4,0
CARRIER_B,GWANGYANG,40FT,0,0,0,0,0,0,0
CARRIER_B,UIWANG,20FT,0,0,0,35,25,0,19
CARRIER_B,UIWANG,40FT,0,0,0,11,11,0,0
CARRIER_B,YAKMOK,20FT,0,0,0,10,4,0,6
CARRIER_B,YAKMOK,40FT,0,0,0,1,1,0,0
CARRIER_C,BUGANG,20FT,0,0,0,2,0,0,3
CARRIER_C,BUGANG,40FT,0,0,0,2,2,0,0
CARRIER_C,BUSAN,20FT,2,0,2,0,0,2,0
CARRIER_C,BUSAN,40FT,0,0,0,1,1,0,0
CARRIER_C,DONGSAN,20FT,9,4,5,0,0,5,0
CARRIER_C,DONGSAN,40FT,2,2,0,0,0,0,0
CARRIER_C,GWANGYANG,20FT,0,0,0,9,9,0,0
CARRIER_C,GWANGYANG,40FT,0,0,0,2,2,0,0
CARRIER_C,UIWANG,20FT,0,0,0,3,0,0,3
CARRIER_C,UIWANG,40FT,0,0,0,2,2,0,0
CARRIER_C,YAKMOK,20FT,0,0,0,2,1,0,1
CARRIER_C,YAKMOK,40FT,0,0,0,3,3,0,0
CARRIER_D,BUGANG,20FT,0,0,0,7,7,0,0
CARRIER_D,BUGANG,40FT,0,0,0,2,2,0,1
CARRIER_D,BUSAN,20FT,0,0,0,58,58,0,0
CARRIER_D,BUSAN,40FT,0,0,0,8,8,0,0
CARRIER_D,DONGSAN,20FT,0,0,0,0,0,0,0
CARRIER_D,DONGSAN,40FT,0,0,0,1,1,0,0
CARRIER_D,GWANGYANG,20FT,0,0,0,0,0,0,0
CARRIER_D,GWANGYANG,40FT,3,0,3,0,0,3,0
CARRIER_D,UIWANG,20FT,0,0,0,3,3,0,0
CARRIER_D,UIWANG,40FT,0,0,0,2,0,0,2
CARRIER_D,YAKMOK,20FT,0,0,0,13,13,0,0
CARRIER_D,YAKMOK,40FT,0,0,0,2,2,0,0
CARRIER_E,BUGANG,20FT,0,0,0,3,3,0,1
CARRIER_E,BUGANG,40FT,0,0,0,0,0,0,0
CARRIER_E,BUSAN,20FT,6,2,4,0,0,4,0
CARRIER_E,BUSAN,40FT,1,1,0,0,0,0,0
CARRIER_E,DONGSAN,20FT,0,0,0,0,0,0,0
CARRIER_E,DONGSAN,40FT,0,0,0,0,0,0,0
CARRIER_E,GWANGYANG,20FT,7,3,4,0,0,4,0
CARRIER_E,GWANGYANG,40FT,0,0,0,1,1,0,0
CARRIER_E,UIWANG,20FT,0,0,0,22,16,0,9
CARRIER_E,UIWANG,40FT,0,0,0,2,1,0,1
CARRIER_E,YAKMOK,20FT,9,7,2,0,0,2,0
CARRIER_E,YAKMOK,40FT,1,0,1,0,0,1,0
CARRIER_F,BUGANG,20FT,0,0,0,8,5,0,4
CARRIER_F,BUGANG,40FT,0,0,0,1,1,0,0
CARRIER_F,BUSAN,20FT,4,0,4,0,0,4,0
CARRIER_F,BUSAN,40FT,0,0,0,0,0,0,0
CARRIER_F,DONGSAN,20FT,1,1,0,0,0,0,0
CARRIER_F,DONGSAN,40FT,0,0,0,1,1,0,0
CARRIER_F,GWANGYANG,20FT,23,10,13,0,0,13,0
CARRIER_F,GWANGYANG,40FT,0,0,0,3,3,0,0
CARRIER_F,UIWANG,20FT,0,0,0,12,0,0,12
CARRIER_F,UIWANG,40FT,0,0,0,3,3,0,0
CARRIER_F,YAKMOK,20FT,0,0,0,4,3,0,1
CARRIER_F,YAKMOK,40FT,0,0,0,0,0,0,0
